Complexity,Loss,Equation
1,2.705718e7,"391.33826"
2,2.6240942e7,"inv(x0)"
3,2.5166496e7,"(x0 ^ -1.1462747)"
4,1.7046006e7,"inv(x0 * x1)"
5,1.7042502e7,"inv(sin(x0) * x1)"
6,1.0910322e7,"inv(x1 - (x0 * x1))"
7,1.0830309e7,"(-0.9289348 / ((x1 * x0) - x1))"
8,791415.06,"inv((x1 - (x1 * x0)) * x0)"
9,736652.2,"((-0.9564976 / ((x0 * x1) - x1)) / x0)"
10,705685.9,"(inv(x1 - (x1 * (x0 ^ 1.055524))) / x0)"
11,155075.2,"abs(inv((exp(x1) ^ x0) - exp(x1)) / x0)"
12,11240.907,"(((0.69035685 ^ x1) / abs((x1 * x0) - x1)) / x0)"
13,5897.8794,"(((0.67349553 ^ x1) / ((x0 * x1) - x1)) / (x0 / -1.0145017))"
14,5758.8677,"(((cos(0.82373065) ^ x1) / ((x0 * x1) - x1)) / (x0 / -1.0145017))"
15,5508.442,"(((0.69035685 ^ abs(x1 - 0.030774228)) / abs((x1 * x0) - x1)) / x0)"
16,5165.896,"(abs((cos(-0.82140744) ^ abs(x1 - 0.030774228)) / ((x1 * x0) - x1)) / x0)"
17,5165.888,"abs(inv((x0 * x1) - x1) / (x0 / (cos(-0.82140744) ^ abs(x1 - 0.030774228))))"
18,4745.6963,"abs((inv((x0 * x1) - x1) - 0.11085474) / (x0 / (0.69035685 ^ abs(x1 - 0.030774228))))"
19,4354.6147,"abs((inv((x0 * x1) - x1) - 0.16188025) / (x0 / (cos(0.83357733) ^ abs(x1 - 0.030774228))))"
20,4316.8765,"abs((inv((x0 * x1) - x1) - 0.16188025) / (x0 / (sin(sin(0.83357733)) ^ abs(x1 - 0.030774228))))"
